* Environment:                2k
* Environment Version:        16.2.4 `deac0811459`
* Option:                     60s_36_0rps
* Date:                       2024-04-12
* Run Time:                   1h 11m 53.45s (Start: 10:35:45 UTC, End: 11:47:38 UTC)
* GPT Version:                v2.13.0

❯ Overall Results Score: 95.6%

NAME                                                     | RPS  | RPS RESULT         | TTFB AVG  | TTFB P90             | REQ STATUS     | RESULT  
---------------------------------------------------------|------|--------------------|-----------|----------------------|----------------|---------
api_v4_groups                                            | 36/s | 35.79/s (>28.80/s) | 75.51ms   | 89.11ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_groups_group                                      | 36/s | 35.37/s (>1.44/s)  | 214.69ms  | 240.78ms (<24000ms)  | 100.00% (>20%) | Passed¹ 
api_v4_groups_group_subgroups                            | 36/s | 35.81/s (>28.80/s) | 86.42ms   | 101.50ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_groups_issues                                     | 36/s | 16.85/s (>5.76/s)  | 1965.10ms | 2281.27ms (<8000ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_merge_requests                             | 36/s | 35.3/s (>2.88/s)   | 240.86ms  | 273.11ms (<17500ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_projects                                   | 36/s | 35.25/s (>1.44/s)  | 239.74ms  | 270.82ms (<22000ms)  | 100.00% (>30%) | Passed¹ 
api_v4_projects                                          | 36/s | 16.92/s (>4.32/s)  | 1928.08ms | 2849.95ms (<7000ms)  | 99.61% (>99%)  | Passed¹ 
api_v4_projects_deploy_keys                              | 36/s | 35.83/s (>28.80/s) | 58.44ms   | 68.82ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_issues                                   | 36/s | 35.34/s (>28.80/s) | 213.19ms  | 239.08ms (<1000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_issue                             | 36/s | 35.17/s (>28.80/s) | 270.79ms  | 339.31ms (<2600ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_search                            | 36/s | 35.94/s (>28.80/s) | 43.37ms   | 46.36ms (<800ms)     | 1.39% (>99%)   | FAILED¹²
api_v4_projects_languages                                | 36/s | 35.88/s (>28.80/s) | 55.22ms   | 66.17ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests                           | 36/s | 35.56/s (>28.80/s) | 140.58ms  | 165.43ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request             | 36/s | 33.76/s (>14.40/s) | 458.30ms  | 810.25ms (<3500ms)   | 99.85% (>99%)  | Passed¹ 
api_v4_projects_merge_requests_merge_request_commits     | 36/s | 35.67/s (>28.80/s) | 119.35ms  | 139.62ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_diffs       | 36/s | 35.73/s (>28.80/s) | 100.22ms  | 118.67ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_discussions | 36/s | 35.3/s (>28.80/s)  | 188.23ms  | 214.98ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_search                    | 36/s | 35.87/s (>8.64/s)  | 61.93ms   | 69.87ms (<5000ms)    | 1.39% (>99%)   | FAILED¹²
api_v4_projects_project                                  | 36/s | 35.6/s (>28.80/s)  | 122.65ms  | 143.59ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines                        | 36/s | 35.74/s (>28.80/s) | 78.43ms   | 92.53ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines_pipeline               | 36/s | 35.67/s (>28.80/s) | 79.79ms   | 94.02ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines_pipeline_jobs          | 36/s | 33.68/s (>5.76/s)  | 877.87ms  | 1174.54ms (<2000ms)  | 100.00% (>99%) | Passed¹ 
api_v4_projects_project_services                         | 36/s | 35.88/s (>28.80/s) | 53.35ms   | 63.26ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_releases                                 | 36/s | 35.55/s (>28.80/s) | 109.31ms  | 130.80ms (<200ms)    | 100.00% (>99%) | Passed  
