* Environment:                2k
* Environment Version:        16.2.4 `deac0811459`
* Option:                     60s_40rps
* Date:                       2024-04-12
* Run Time:                   1h 13m 4.66s (Start: 16:23:51 UTC, End: 17:36:56 UTC)
* GPT Version:                v2.13.0

❯ Overall Results Score: 95.72%

NAME                                                     | RPS  | RPS RESULT         | TTFB AVG  | TTFB P90             | REQ STATUS     | RESULT  
---------------------------------------------------------|------|--------------------|-----------|----------------------|----------------|---------
api_v4_groups                                            | 40/s | 39.73/s (>32.00/s) | 78.81ms   | 93.23ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_groups_group                                      | 40/s | 23.24/s (>1.60/s)  | 1562.99ms | 2850.34ms (<24000ms) | 100.00% (>20%) | Passed¹ 
api_v4_groups_group_subgroups                            | 40/s | 39.72/s (>32.00/s) | 87.39ms   | 102.63ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_groups_issues                                     | 40/s | 16.93/s (>6.40/s)  | 2179.82ms | 2531.04ms (<8000ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_merge_requests                             | 40/s | 39.19/s (>3.20/s)  | 298.69ms  | 381.55ms (<17500ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_projects                                   | 40/s | 37.61/s (>1.60/s)  | 794.74ms  | 1442.06ms (<22000ms) | 100.00% (>30%) | Passed¹ 
api_v4_projects                                          | 40/s | 15.35/s (>4.80/s)  | 2360.79ms | 3318.23ms (<7000ms)  | 99.68% (>99%)  | Passed¹ 
api_v4_projects_deploy_keys                              | 40/s | 39.83/s (>32.00/s) | 60.16ms   | 71.86ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_issues                                   | 40/s | 39.27/s (>32.00/s) | 230.30ms  | 284.50ms (<1000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_issue                             | 40/s | 39.08/s (>32.00/s) | 492.16ms  | 732.34ms (<2600ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_search                            | 40/s | 39.92/s (>32.00/s) | 45.54ms   | 50.18ms (<800ms)     | 1.25% (>99%)   | FAILED¹²
api_v4_projects_languages                                | 40/s | 39.83/s (>32.00/s) | 59.08ms   | 71.14ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests                           | 40/s | 39.47/s (>32.00/s) | 140.84ms  | 163.78ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request             | 40/s | 36.33/s (>16.00/s) | 677.54ms  | 1041.29ms (<3500ms)  | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request_commits     | 40/s | 39.65/s (>32.00/s) | 126.15ms  | 144.90ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_diffs       | 40/s | 39.65/s (>32.00/s) | 99.82ms   | 119.90ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_discussions | 40/s | 39.39/s (>32.00/s) | 197.87ms  | 228.74ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_search                    | 40/s | 39.86/s (>9.60/s)  | 67.33ms   | 74.70ms (<5000ms)    | 1.25% (>99%)   | FAILED¹²
api_v4_projects_project                                  | 40/s | 39.51/s (>32.00/s) | 128.23ms  | 150.61ms (<200ms)    | 100.00% (>99%) | Passed  
