* Environment:                2k
* Environment Version:        16.2.3 `6a407717a9c`
* Option:                     60s_24_0rps
* Date:                       2024-04-12
* Run Time:                   1h 11m 52.2s (Start: 07:41:00 UTC, End: 08:52:52 UTC)
* GPT Version:                v2.13.0

NAME                                                     | RPS  | RPS RESULT         | TTFB AVG  | TTFB P90             | REQ STATUS     | RESULT  
---------------------------------------------------------|------|--------------------|-----------|----------------------|----------------|---------
api_v4_groups                                            | 24/s | 23.76/s (>19.20/s) | 78.56ms   | 87.80ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_groups_group                                      | 24/s | 17.02/s (>0.96/s)  | 1190.12ms | 1982.89ms (<24000ms) | 100.00% (>20%) | Passed¹ 
api_v4_groups_group_subgroups                            | 24/s | 23.85/s (>19.20/s) | 84.70ms   | 101.16ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_groups_issues                                     | 24/s | 17.65/s (>3.84/s)  | 1222.97ms | 1454.23ms (<8000ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_merge_requests                             | 24/s | 23.43/s (>1.92/s)  | 236.87ms  | 269.62ms (<17500ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_projects                                   | 24/s | 23.19/s (>0.96/s)  | 416.90ms  | 1013.80ms (<22000ms) | 100.00% (>30%) | Passed¹ 
api_v4_projects                                          | 24/s | 19.31/s (>2.88/s)  | 1092.04ms | 1638.50ms (<7000ms)  | 100.00% (>99%) | Passed¹ 
api_v4_projects_deploy_keys                              | 24/s | 23.91/s (>19.20/s) | 60.23ms   | 69.08ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_issues                                   | 24/s | 23.64/s (>19.20/s) | 205.11ms  | 232.31ms (<1000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_issue                             | 24/s | 23.53/s (>19.20/s) | 227.09ms  | 243.84ms (<2600ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_search                            | 24/s | 23.96/s (>19.20/s) | 45.86ms   | 46.48ms (<800ms)     | 2.08% (>99%)   | FAILED¹²
api_v4_projects_languages                                | 24/s | 23.87/s (>19.20/s) | 57.67ms   | 63.63ms (<200ms)     | 100.00% (>99%) | Passed  
